role,championId,win,allies,enemies
TOP,92,1,"799,38,163,267","31,154,136,523,201"
JUNGLE,799,1,"92,38,163,267","31,154,136,523,201"
MIDDLE,38,1,"92,799,163,267","31,154,136,523,201"
BOTTOM,163,1,"92,799,38,267","31,154,136,523,201"
UTILITY,267,1,"92,799,38,163","31,154,136,523,201"
TOP,31,0,"154,136,523,201","92,799,38,163,267"
JUNGLE,154,0,"31,136,523,201","92,799,38,163,267"
MIDDLE,136,0,"31,154,523,201","92,799,38,163,267"
BOTTOM,523,0,"31,154,136,201","92,799,38,163,267"
UTILITY,201,0,"31,154,136,523","92,799,38,163,267"
TOP,17,0,"5,901,45,350","150,131,39,67,117"
JUNGLE,5,0,"17,901,45,350","150,131,39,67,117"
MIDDLE,901,0,"17,5,45,350","150,131,39,67,117"
BOTTOM,45,0,"17,5,901,350","150,131,39,67,117"
UTILITY,350,0,"17,5,901,45","150,131,39,67,117"
TOP,150,1,"131,39,67,117","17,5,901,45,350"
JUNGLE,131,1,"150,39,67,117","17,5,901,45,350"
MIDDLE,39,1,"150,131,67,117","17,5,901,45,350"
BOTTOM,67,1,"150,131,39,117","17,5,901,45,350"
UTILITY,117,1,"150,131,39,67","17,5,901,45,350"
TOP,875,1,"62,142,145,147","106,238,7,236,267"
JUNGLE,62,1,"875,142,145,147","106,238,7,236,267"
MIDDLE,142,1,"875,62,145,147","106,238,7,236,267"
BOTTOM,145,1,"875,62,142,147","106,238,7,236,267"
UTILITY,147,1,"875,62,142,145","106,238,7,236,267"
TOP,106,0,"238,7,236,267","875,62,142,145,147"
JUNGLE,238,0,"106,7,236,267","875,62,142,145,147"
MIDDLE,7,0,"106,238,236,267","875,62,142,145,147"
BOTTOM,236,0,"106,238,7,267","875,62,142,145,147"
UTILITY,267,0,"106,238,7,236","875,62,142,145,147"
TOP,904,1,"106,518,145,875","36,887,777,236,267"
JUNGLE,106,1,"904,518,145,875","36,887,777,236,267"
MIDDLE,518,1,"904,106,145,875","36,887,777,236,267"
BOTTOM,145,1,"904,106,518,875","36,887,777,236,267"
